title,label_score
"Refleksi 5 Tahun DPD RI, OSO: Kami Ada untuk Daerah",0
MUI Riau: Pelaku Karhutla Orang Tak Taat Beragama,0
Penyelundupan 19.253 Benih Lobster Tujuan Singapura Digagalkan di Makassar,0
"Kecelakaan Beruntun dan Truk Terbakar di Cipularang, 2 Orang Luka",0
"Banyak Berita Negatif, HNW Khawatirkan Moral Bangsa Indonesia",0
KPK Harap Jeratan Eks Dirut Petral Bisa Buka Kotak Pandora Mafia Migas,0
Hamas Tembak Jatuh Drone Israel di Jalur Gaza,0
JPU Keberatan Kivlan Zen Didampingi Kuasa Hukum dari Militer,0
"Jaksa Beberkan Senpi-Peluru Tajam Pembelian Kivlan Zen cs, Ini Rinciannya",1
Dishub Minta Polda Data Kebutuhan E-TLE di Area Perluasan Ganjil Genap,0
Polisi Olah TKP Kecelakaan Maut Tewaskan 3 Orang di Nganjuk,0
"Uang Miliaran Rupiah Milik Pemprov Sumut Hilang, Polisi Turun Tangan",0
Menkum HAM soal Cabut Paspor Veronica Koman: Ada Ketentuannya,0
Sering Quality Time Bersama Keluarga? Ternyata Ini 3 Manfaatnya!,1
"Menteri Jokowi 55% Profesional, Ini Kandidatnya?",1
LIPI Desak Jokowi Tolak Revisi UU KPK yang Lumpuhkan Kinerja KPK,0
"Kasus Penyerangan Ditutup, Pemotor Naik Trotoar Tetap Ditilang",0
Bareskrim Tangkap 2 Pembobol yang Rugikan Bank BUMN Rp 16 Miliar,0
"Datang ke Pembekalan Caleg Terpilih Demokrat, SBY Beri Arahan Tertutup",0
Aktivis Perempuan Nilai RUU PKS Tersandera oleh RUU KUHP,0
"Belum Teridentifikasi, 4 Korban Kecelakaan Cipularang Diduga Perempuan",0
Siswi SMK Bandung Ditikam Dekat Sekolah karena Tolak Cinta Pelaku,0
"Jika Tak Kunjung Penuhi Panggilan, Veronica Koman Bakal Jadi DPO",0
"Pria Misterius Berjubah Putih Viral di Sumut, Ingatkan 'Tuhan Murka'",1
Polisi Simpulkan Bos Sembako di Cilegon Tewas Bunuh Diri,0
Menengok Pantai Mustika Banyuwangi,0
"Asap Pekat Selimuti Riau, Pemprov Gelar Salat Minta Hujan Besok",0
"Soal Kontrak Politik Capim KPK, Fahri Sebut Agar Taat Undang-Undang",0
Caketum HIPMI: Pengusaha RI Harus Punya Jiwa Nasionalisme yang Kuat,0
"KPU Solo Ajukan Dana Rp 17,8 M untuk Pilwalkot 2020",0
Utusan Khusus Presiden akan Gelar Munas Tokoh Antaragama,0
"Panggil Veronica Koman, Polisi Tunggu Hingga Dua Pekan ke Depan",0
KPK Tetapkan Eks Pejabat Pertamina Energy Tersangka Mafia Migas,0
"Dipeluk Istri Sebelum Jalani Sidang, Kivlan Zen Menangis",0
"Video Porno di Sumedang Disebar Pemeran Pria, Apa Motifnya?",1
"ICW: Jangan Pertaruhkan KPK, Pak Jokowi",0
Terungkap! Video Porno di Sumedang Diperankan Pasangan Selingkuh,1
"Bocah di Bekasi Disebut Tewas karena Bully, KPAD Imbau Keluarga Melapor",0
JK soal Revisi UU KPK: Penuntutan Tak Perlu Koordinasi dengan Jaksa Agung,0
Komisi III DPR Pastikan Tampung Semua Masukan soal Capim KPK,0
"Tokoh Papua yang Diundang Jokowi Eks Timses, Istana: Kebetulan Saja",0
Wagub Jabar Minta Pekerja di Lingkungan Pemprov Jabar Daftar BPJS TK,0
Anak dan Cucu Berkumpul Temani BJ Habibie di RSPAD Gatot Soebroto,0
"Gara-gara Puntung Rokok, 28 Hektare Lahan di Sulteng Terbakar",0
"Topan Faxai Hantam Jepang, 17.000 Penumpang Telantar di Bandara Narita",0
"Gajah Mengamuk Ketika Ikut Festival Agama di Sri Lanka, 18 Terluka",0
"Waduk Pacal di Bojonegoro Surut, Lahan Pertanian di 4 Kecamatan Kekeringan",0
Komisi III DPR Gelar RDPU Tampung Masukan soal Seleksi Capim KPK,0
"HUT ke-70, Brigif Raider 13 Ziarah ke Makam Bupati Galuh Ciamis",0
Pesan KPK ke Jokowi: Pembangunan Tak Tercapai Jika Masih Digerogoti Korupsi,0
40 Perguruan Tinggi Muhammadiyah se-Indonesia Tolak Revisi UU KPK,0
1.904 Pelanggar Ditilang di Hari Perdana Perluasan Ganjil-Genap Kemarin,0
4 Bulan Lagi Polrestabes Surabaya Punya Tempat Parkir Bertingkat,0
"Sepekan Dilantik, Anggota DPRD Jabar Gadai SK ke Bank",0
"Poyuono: Jelas, Pemerintah-DPR Revisi UU KPK Agar Mudah Rampok Uang Negara",0
Ratusan Mahasiswa Surabaya Dukung Revisi UU KPK,0
Abraham Samad: Jokowi Harus Minta DPR Setop Pembahasan Revisi UU KPK,0
Satgas Karhutla Investigasi Penyebab Kebakaran Kebun Tebu PTPN VII Ogan Ilir,0
"Fenomena Anggota Dewan Gadaikan SK, di DPRD Surabaya Juga Ada",0
Anies Anggap Perbaikan Udara Jakarta Lewat Ganjil Genap Tak Bisa Instan,0
"Tepis Kabar Bully, Polisi Sebut Bocah Meninggal di Bekasi Akibat Tetanus",0
Tokoh Papua Bicara ke Jokowi soal Persaingan Penduduk dan Lingkungan,0
"Kritik Revisi UU KPK, Rektor IPB-Pemuka Agama Tolak Pelemahan KPK",0
Menggalang Pembiayaan Ibu Kota Baru,0
Pasukan Kostrad Dikerahkan untuk Tangkap Pelaku Karhutla di Riau,0
"Kendaraan Listrik Bebas dari Aturan Ganjil-Genap, Ini Alasannya",1
Satu-satunya Korban Selamat Kecelakaan Maut di Nganjuk Diciduk Kasus Narkoba,0
"Home Industry Arak di Sidoarjo Digerebek, Dua Orang Diamankan",0
"Jokowi ke Papua Lagi Paling Telat Oktober, Resmikan Jembatan Holtekamp",0
Trump Umumkan Perundingan Damai dengan Taliban Sudah Mati,0
"Menanti ""Kebijakan Gila"" Jokowi",1
Jokowi Janjikan 1.000 Sarjana Papua Bekerja di BUMN-Perusahaan Besar,0
Ibu Bayi yang Kaki-Tangannya Putus di Tangerang Serahkan Diri ke Polisi,0
Melihat ke Belakang Pengusutan KPK soal Mafia Migas terkait Petral,0
Banyuwangi dan Perawat Kolaborasi Bikin Sehat Usaha Wisata Warga,0
Dua Korban Kecelakaan Maut di Nganjuk Ternyata DPO Kasus Narkoba,0
Kabut Asap Bikin Penerbangan di Banjarmasin Terganggu,0
Tokoh Papua Minta Jokowi Bangun Istana Presiden di Papua,0
Jaksa KPK Minta MA Tolak PK Novanto,0
Akhirnya! Pemkot Pekanbaru Liburkan SD dan SMP karena Kabut Asap,1
"Tata Cara Umroh, Urutan, dan Bacaannya",0
"40 Persen Dewan Ciamis Gadaikan SK, Ketua: Daripada Mencuri Uang Negara",0
Seputar Kecelakaan Maut di Jalur Nganjuk-Madiun yang Tewaskan 3 Orang,0
PJ Walkot Makassar Sebut Rilis Edaran Antisipasi Syiah Rekomendasi MUI,0
"Dipimpin Ibas, Demokrat Gelar Pembekalan Anggota Legislatif 2019-2024",0
Jokowi: Tahun Depan Istana Presiden di Papua Mulai Dibangun,0
Jokowi Undang Tokoh Papua ke Istana Hari Ini,0
China Geram Atas Pernyataan Menlu AS Soal Perlakuan terhadap Uighur,0
OSO soal Revisi UU KPK: Tentunya Kita Tidak akan Melemahkan,0
"154 Pelanggar Ditilang di Jakbar, Alasannya Tidak Tahu Ganjil Genap",0
Gubernur Khofifah Gandeng ISEI Kembangkan One Pesantren One Product,0
SBY Jenguk BJ Habibie di RSPAD Gatot Soebroto,0
"HUT Ke-74, TNI AL Akan Terus Tingkatkan SDM untuk Indonesia Maju",0
"Buka Luwur Sunan Kudus, Ribuan Paket Nasi Berkat Dibagikan",0
PDIP Nilai Pidato Kontemplasi SBY Sejalan dengan Ide Jokowi,0
"2 Ribu Hektare Lahan Terbakar, Udara di Palembang Tidak Sehat!",1
Pelemahan KPK dan Masa Depan Demokrasi Kita,0
KPK Panggil Wakil Ketua Komisi XI Terkait Kasus Anggota DPR F-PAN,0
Kabut Asap Pekat di Riau Tak Ganggu Penerbangan,0
Petugas Cek Pajak Pelanggar Ganjil Genap Hingga Bagi-bagi Cokelat,0
Tim Pelajar DKI Raih Juara Dua di Olimpiade Metropolis Moskow,0
"Status Tersangka Veronica Koman Disoal, Polri: Ada Praperadilan",0
"Viral Bocah di Bekasi Disebut Tewas Akibat Bully, Begini Kata Ketua RT",1
Pemkab Ponorogo Ajukan 531 Formasi untuk CPNS dan P3K,0
"Masih Ada Yang Tak Tahu Ganjil Genap, Dishub: Sosialisasi Sudah Maksimal",0
Dishub DKI: Perluasan Ganjil Genap Tingkatkan Pengguna Sepeda Motor,0
"Anggota DPRD Banten Ramai-ramai Gadai SK, Ini Kata Kemendagri",1
"Asap Karhutla Tambah Parah, Jarak Pandang di Riau 800 Meter",0
"Perluasan Ganjil Genap, Dishub: Volume Lalu Lintas Turun Signifikan",0
Aktor Intelektual Rusuh Papua Dicari Satu-satu,0
KPK Umumkan Tersangka Kasus Mafia Migas Terkait Petral Siang Ini,0
"Puntung Rokok, Pembalut Bekas, Ada Ratusan Kilo Sampah di Pantai Gold Coast",0
"Asap Pekat Kepung Pekanbaru, Polantas Bagikan Masker ke Pengendara",0
Santri di Probolinggo Sambut 10 Muharam dengan Pawai Obor,0
"Yuk 'Bantu Jokowi Cari Menteri', Ikuti Polling di detikcom!",1
Beda 2 Eks Komisioner KPAI Soal Polemik dengan PB Djarum,0
Ratusan Keluarga di Queensland Mengungsi Hindari Kebakaran yang Kian Memburuk,0
Penerapan Tilang Elektronik di Busway Ditargetkan Oktober 2019,0
"Dangdutan Maut Tewaskan 2 Pria di Bekasi, 4 Pelaku Ditangkap",0
"Jadi Contoh Tak Baik, Pemotor Serang Pejalan Kaki di Trotoar Minta Maaf",0
"Kebakaran Gudang di Penjaringan Padam, Kerugian Ditaksir Rp 2 M",0
"Atasi Kabut Asap dari Indonesia, Malaysia Rencanakan Hujan Buatan",0
"Polisi Bongkar Perdagangan Wanita di Kepri, Korbannya Dijadikan PSK",0
"Gegara Potong Kabel, Anies Disomasi Apjatel",0
Anggota Baleg DPR: Revisi UU KPK Seimbangkan Pencegahan dan Penindakan,0
John Chardon Terbukti Bersalah Atas Kematian Istrinya Novy,0
KPAI: Pengembangan Bakat Bulutangkis Harus Tetap Jalan Sesuai Regulasi,0
"Berharap Tak Mati, KPK Minta Yasonna Hati-hati",0
Korut Nyatakan Siap Bertemu AS Bahas Denuklirisasi Akhir September,0
BMKG Prediksi Cuaca Jakarta Cerah Hari ini,0
Polri Akan Teruskan Pengajuan Red Notice Veronica Koman ke Interpol,0
"Sebut Personel Polres Jakbar Satpam, AMPG Pro Bamsoet Akan Dipolisikan",0
"Asap Pekat, Siswa SD di Pekanbaru Tetap Sekolah",0
Petani Blitar Biarkan Tomat Membusuk karena Harga Anjlok,0
Dishub DKI: Perluasan Ganjil Genap Hari Pertama Perbaiki Kualitas Udara,0
"SBY Ajak Rakyat Dukung Jokowi, Istana: Bentuk Kesantunan Politik",0
"Hari Asyura, Pemkot Makassar Rilis Edaran Antisipasi Penyebaran Syiah",0
Polisi Periksa Kadis Tersangka Pencium Pipi Staf Saat Selfie Pekan Ini,0
"Bahas Seleksi Capim KPK, Komisi III Akan Temui Koalisi Masyarakat Sipil",0
"Pabrik Tiner di Kalideres Terbakar, 15 Mobil Damkar Dikerahkan",0
"SBY Ajak Rakyat Dukung Jokowi, PPP: Simpatik dan Negarawan",0
"Jenguk BJ Habibie, SBY Batal Buka Pertemuan Nasional Fraksi Demokrat",0
"Kualitas Udara Makin Buruk, Libur Siswa SD di Jambi Diperpanjang",0
"Curhat Warga Desa Digital di Sukabumi, Berburu Sandi untuk Wi-Fi Gratis",0
"Ada Bus TransJ Ditabrak Mobil, Lalin Menteng Arah Rasuna Said Macet",0
Pelanggar di Jalur Perluasan Ganjil Genap Jakpus Masih Banyak,0
"Besok, Polisi Panggil Ketum FPI Terkait Kasus Dugaan Makar",0
"Anggota DPRD Banten Ramai-ramai Gadai SK, Pimpinan: Itu Ranah Pribadi",0
Bupati Bogor Ingin Pemprov DKI Ikut Bantu Tangani Sampah di Kalibaru,0
Polisi Cek Kebenaran Kasus Bocah di Bekasi yang Disebut Tewas Akibat Bully,0
"Ibas Banggakan Kinerja SBY, Minta Caleg Terpilih Demokrat Jadikan Contoh",0
Korut Tembakkan Proyektil Tak Dikenal Usai Tawarkan Dialog dengan AS,0
Airlangga Tegaskan Golkar Bukan Inisiator Revisi UU KPK,0
KaBIN Budi Gunawan Buka Pertemuan Jokowi dan 61 Tokoh Papua di Istana,0
Pemimpin Hong Kong Ingatkan AS Jangan Ikut Campur Soal Aksi Demo,0
Pj Walkot Makassar Minta Edaran Antisipasi Syiah Disikapi dengan Tenang,0
Ini 10 Poin Aspirasi Tokoh Papua Saat Bertemu Jokowi di Istana,1
Cerita Jokowi 12 Kali ke Papua: Provinsi Lain Maksimal 3 Kali,0
"Dari Mantan Atlet, Artis hingga Netizen Ramai-ramai Bela PB Djarum",0
Viral! Perampok Bercelurit Satroni Rumah Makan Gratis untuk Duafa di Bogor,1
"Aspirasi Tokoh Papua: Pak Jokowi, Generasi Muda Kami Jangan Dihukum",0
Air PDAM 60 Ribu Warga Mampet Dampak Pembangunan Alun-Alun Suroboyo,0
Menlu Bicara Pentingnya Diplomasi Digital untuk Kerja Sama Ekonomi,0
Perhatian! Ini Nama-nama Kandidat Menteri Jokowi,1
Barang Impor Tanpa Izin Senilai Rp 8 Miliar Dimusnahkan,0
Polres Sumedang Buru Penyebar Video Porno Pasangan Dewasa,0
KPU Ungkap Kendala 18 KPU Daerah Usulkan NPHD Pilkada,0
Polres Bogor Kejar Perampok Bercelurit di Rumah Makan Gratis untuk Duafa,0
Saat Airlangga-Siswono Bicara soal Revisi UU KPK dan Seleksi Capim,0
"Ketum FPI Dipanggil Terkait Makar Besok, Pengacara Minta Jadwal Ulang",0
Kepala BPPT Doakan BJ Habibie 'Eyang Intelektual' Segera Pulih,0
"Hotel, Kafe, Rumah Sakit di Surabaya Batasi Air Dampak PDAM Mampet",0
PTUN: Pemkot Cimahi Harus Batalkan IMB Guest House di Setra Duta,0
Pimpinan Bank BUMN di Purbalingga Jadi Tersangka Kredit Fiktif Rp 28 M,0
Tokoh Papua: Benny Wenda Tak Berhak Atur NKRI,0
"Kebakaran Rumah di Grobogan, Pria Penderita Stroke Tewas Terbakar",0
Lahan Istana Kepresidenan di Papua Segera Disertifikatkan,0
"Daripada Kritik PB Djarum, KPAI Diminta Fokus Urus Anak Jalanan",0
Alasan Anggota DPRD Banten Gadaikan SK: Renovasi Rumah-Bayar Kuliah Anak,0
Pengurus Golkar Protes Perubahan Prosedur Rapat Korbid,0
Pemkot Bandung Evaluasi Program Street Library Yang Digagas Ridwan Kamil,0
Poyuono Ajak Rakyat Kepung DPR-Istana Tolak Revisi UU KPK,0
"Dishub DKI: Uji Coba Ganjil Genap 3 Minggu Kemarin, Kendaraan Turun 25%",0
"Siap Sekali Jalani Sidang, Kivlan Zen ke Pengadilan Pakai Kursi Roda",0
3 Orang Tewas dalam Drama Penembakan Keluarga di Belanda,0
"Pasang Status 'Single', Inilah Saat Terakhir Kehidupan Novy Chardon",1
"Anggota DPRD Surabaya Gadai SK ke Bank, Ketua: Itu Wajar",0
"Laporan Dicabut, Kasus 'Mobil Goyang' di Halaman Pengadilan Berakhir Damai",0
Siswi SMK Bandung Dilarikan ke RS Gegara Ditikam Dekat Sekolah,0
"Sidang Gugatan Ikan Koi Mati, Saksi dari PLN Bicara Ini",1
Putra BJ Habibie: Apa Pun yang Terjadi Terbaik buat Bapak Saya,0
Puro Pakualaman Gelar Upacara Hajad Dalem Labuhan di Pantai Glagah,0
"Permukaan Air Susut, Bekas Desa di Dasar Waduk Gajah Mungkur Muncul",0
270 Panwaslu Telah Usulkan NPHD Pilkada 2020,0
PDIP Jatim Buka Pendaftaran Pilkada Hingga 14 September,0
Anggaran ERP akan Masuk APBD DKI 2020,0
"Dua Kecelakaan di Tol Cipularang, Truk Terbakar di Km 91",0
"Truk Oleng di Tanjakan Emen, Satu Penumpang Tewas",0
"JK soal Efek KPK: Pejabat BUMN Bukan Lagi Hati-hati, Tapi Sudah Takut",0
Perampok di RM Gratis untuk Duafa di Bogor Sempat Dikira Mau Minta Makan,0
"Jokowi Diminta Mekarkan Wilayah Papua, Wiranto: Masih Masukan",0
Google dan Pajak Media Digital Asing,0
"Ibas Yudhoyono: KPK Tak Boleh Dilemahkan, Harus Diperkuat!",0
"Fenomena Anggota DPRD Gadaikan SK ke Bank, Gejala Apa Ini?",1
Kivlan Zen Didakwa Kasus 4 Senpi Ilegal dan Peluru Tajam,0
Jaksa Ungkap Duit Ratusan Juta Habil Marati ke Kivlan Zen cs,0
"Pesan Habil Marati Soal Duit Senpi ke Kivlan cs: Ini untuk Bangsa, Tetap Semangat",0
"Kivlan Zen Sebut Kaliber 22 buat Tikus, Minta Cari Senpi Baru Sebelum Pemilu",0
Tersangka Mafia Migas Bikin Penampung Duit Suap di British Virgin Island,0
"Kasus Mafia Migas Eks Bos Petral, KPK Sudah Geledah 5 Lokasi",0
JK Sebut Jokowi Segera Kirim Surat Presiden ke DPR Bahas Revisi UU KPK,0
Puluhan Rumah di Bantaran Bengawan Solo Terancam Terbawa Longsor,0
"Ajukan Eksepsi, Kivlan Zen: Dakwaan Tidak Benar!",0
"Di Komisi III DPR, IPW cs Dukung Hasil Pansel Capim KPK",0
Wali Kota Cirebon Minta Instansi Swasta Pasang CCTV untuk Intai Penjahat,0
"Terdampak Tol Desari, Jalan Tanah Baru Depok Akan Diperlebar Tahun Ini",0
Penyelundupan 74 Ekor Burung Dilindungi Berhasil Digagalkan,0
Angka Aman Pemangkasan PPh Korporasi,0
9 Pasangan Mesum di Buleleng Bali Terciduk Operasi Yustisi,0
Seratusan Karyawan Pabrik Boneka di Sukabumi Keracunan Makanan,0
Banyuwangi Raih Penghargaan dari Kemenkum HAM,0
Polisi Selidiki dari dan ke Mana Veronika Koman Alirkan Dananya,0
Gubernur Edy Rahmayadi Ingin Sungai Deli Seperti di Rusia,0
Pengakuan Bos Investasi Bodong Mojokerto yang Rugikan Korban Hingga Rp 7 M,0
Apa Kabar Denda Rp 1 Juta bagi Pembeli di Zona Merah PKL Bandung?,1
Sidang Habil Marati Ditunda Gara-gara Tak Didampingi Pengacara,0
"Diminta Jadwal Ulang Pemeriksaan, Polisi Tunggu Kehadiran Ketum FPI Besok",0
"Garbi Akan Jadi Partai Gelora, Fahri Hamzah Ikut Bergabung",0
"Disebut Ikut Danai Pembelian Senpi Kivlan, Habil Marati: Semua Fitnah",0
JK soal Banyaknya OTT KPK: Kalau Makin Kurang Itu Prestasi,0
"Anggota Komisi III DPR Ngaku Dilobi Pendukung Capim KPK, Tapi Tak Terima",0
"Mengaku Dihamili, Wanita Asal Blitar Adukan Kades ke Polisi",0
Penyandang Disabilitas Ikut Penjaringan Bacabup-Bacawabup Jember,0
Aksi Mahasiswa UNS Peringati Kematian Munir: Jokowi Tak Serius,0
Fadli Zon Pastikan Sandiaga Akan Gabung Lagi ke Gerindra,0
"Kecelakaan Maut di Nganjuk Tewaskan 3 Orang, 10 Saksi Diperiksa",0
Menteri LHK soal Kabut Asap di Malaysia: Jangan Bilang Hanya dari Indonesia,0
"Munarman: Tak di Kertanegara 17 April, Ketum FPI Bingung Dipanggil Polisi",0
Warga Wonogiri Tewas Terbakar Saat Bersihkan Pekarangan,0
DPRD Usul Posisi Wagub DKI Jakarta Lebih dari Satu Orang,0
"Polisi: Hari Kedua Ganjil Genap di Jl RS Fatmawati, Pelanggaran Turun",0
Ibu yang Buang Bayi Mengenaskan di Tangerang Seorang Mahasiswi,0
"Bantah Media Malaysia, BMKG: Tak Ada Asap Karhutla Lintasi Kuala Lumpur",0
"Dipastikan Gabung Lagi ke Gerindra, Sandiaga Akan Bicara dengan Prabowo",0
Intelijen Militer Jerman Perluas Penyelidikan Pengaruh Ekstrem Kanan,0
"Diduga Korban Tabrak Lari, Sati Tewas di Tol TB Simatupang Pagi Tadi",0
Hinca: SBY Minta Kader PD Pastikan Pemerintahan Jadi Lebih Baik,0
"Putra BJ Habibie: Bapak Tidak Kritis, Sudah Stabil dan Perlu Istirahat",0
Mobil Crane Ambruk Timpa Kapal di Pelabuhan Semarang,0
Geramnya Keluarga pada Hoax BJ Habibie Meninggal Dunia,1
Pria Oknum PNS Diduga Cabuli 4 Gadis di Bawah Umur di Sleman,0
"Buka Career Expo, Gubernur Khofifah Kenalkan Mobile Training Unit",0
Putra Habibie: Bapak Lemas karena Beraktivitas Terlalu Banyak,0
Pelaku Pelecehan Seksual di KRL Diamankan di Stasiun Duren Kalibata,0
Ketua DPR Ingin Penanganan Papua Lebih Progresif,0
"Eks Gubernur Aceh Abdullah Puteh Divonis 1,5 Tahun Penjara Kasus Penipuan",0
"Kasus Dugaan Penipuan Rp 7,5 M, Eks Ketua Hipmi Sultra Ditangkap",0
Sandiaga Bakal Balikan dengan Gerindra,0
Keluarga Akan Batasi Kunjungan Tamu Jenguk BJ Habibie,0
"Bermodal Ganjil Genap, Anies Perangi Polusi Bertahap",0
"Divonis 1,5 Tahun Bui, Eks Gubernur Aceh Abdullah Puteh Banding",0
"Air PDAM Mampet 4 Hari, Risma: Kalau Nggak Gitu Telkom Bisa Blackout",0
"Latihan Gabungan, Paskhas TNI AU Terjun Rebut Bandara Banyuwangi",0
Taman Nasional Gunung Merbabu Terus Pantau Kebakaran Hutan,0
"Ada Kendala LAA di Stasiun Klender, KRL Jatinegara-Cakung Terganggu",0
"Pengacara Tak Hadir, Sidang 4 Gugatan Praperadilan Kivlan Zen Ditunda",0
"Gempa M 3,4 Terjadi di Palu",0
MPR Ikut Ramaikan Festival Konstitusi dan Anti Korupsi di UGM,0
Pemkot Parepare Akan Gelar Zikir Doakan Kesembuhan BJ Habibie,0
Revisi UU KPK Disebut Bikin Anggota DPR Kebal Hukum,0
Wagub Jabar Uu Sesalkan Ada Penusukan Santri di Cirebon,0
Bayi Mengenaskan di Tangerang Sempat Dikubur Ibunya Sebelum Dibuang,0
Kualitas Udara Kota Jambi Malam Hari Masuk Kategori Berbahaya,0
Pemprov DKI Danai Pembangunan Park and Ride di Bekasi 2020,0
KPK Respons Tudingan Zalim Adik Imam Nahrawi: Ada 2 Bukti Kasus,0
Video Detik-detik Mahasiswa Merusak Pagar DPR,1
KPK Dalami Aliran Duit Suap Eks Menpora Imam Nahrawi,0
Pertamina Kucurkan Dana Rp 625 Juta Atasi Kebakaran di Riau,0
Ini Penyebab Sulitnya Padamkan Kebakaran di Gunung Sumbing,1
"Fit and Proper Test Capim KPK Lanjut, Giliran I Nyoman Wara Diuji",0
"Kasus Jasmas di Surabaya, Anggota DPRD Minta Penyidikan yang Objektif",0
Pertemuan Bilateral Awali Kegiatan Menlu di High Level Week Sidang Umum PBB,0
"Malam-malam, Sekdes-TNI Cek Gunung Sampah di Pinggir Kali Ciliwung Cilebut",0
Stasiun MRT Akan Tampilkan Ragam Seni Budaya Indonesia,0
"Menlu Indonesia-Timor Leste-Australia Bertemu di PBB, Ini yang Dibahas",1
"Tangkap Perusuh di Slipi Jakbar, Seorang Polisi Terluka Dipukul Massa",0
Ini Lokasi Diduga Mahasiswa Halu Oleo Kendari Tertembak,1
"Kapolrestabes Medan: Jangan Ada Hoax, Tidak Ada yang Meninggal",0
"Massa Pro Revisi UU Demo di KPK, Pesertanya Ikut Apa Kata Korlap",0
Polisi Prioritaskan Perbaikan Rumah Warga yang Rusak,0
"Randi Mahasiswa Halu Oleo Tewas Tertembak, IMM Aksi Tutup Jl Menteng Raya",0
